AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00292	COG3	COG3	Rabbit	ProteinTech	11130-1-AP	Valid	ENSG00000136152.15
AGID00021	COLLAGENVI	COL6A1	Rabbit	Santa Cruz	sc-20649	Valid	ENSG00000142156.15
AGID00141	COMPLEXIISUBUNIT30	SDHB	Mouse	Life Technologies	459230	Valid	ENSG00000117118.10
AGID00267	Connexin-43	GJA1	Rabbit	CST	3512	Caution	ENSG00000152661.9
AGID00269	Coup-TFII	NR2F2	Rabbit	CST	6434	Caution	ENSG00000185551.15
AGID00150	Cox-IV	COX4I1	Rabbit	CST	4850	Valid	ENSG00000131143.10
AGID00195	Cox2	PTGS2	Rabbit	CST	4842	Caution	ENSG00000073756.12
AGID00188	CRAF	RAF1	Rabbit	Millipore	05-739	Valid	ENSG00000132155.13
AGID00022	CRAF_pS338	RAF1	Rabbit	CST	9427	Valid	ENSG00000132155.13
AGID00023	Creb	CREB1	Rabbit	CST	9197	Caution	ENSG00000118260.15
AGID00393	CREB_pS133	CREB1	Rabbit	CST	9198	Caution	ENSG00000118260.15
AGID00365	CSK	CSK	Rabbit	CST	4980	Caution	ENSG00000103653.16
AGID00367	CtIP	RBBP8	Rabbit	CST	9201	Valid	ENSG00000101773.19
AGID00536	CTLA4	CTLA4	Rabbit	Abcam	ab107198	Caution	ENSG00000163599.17
AGID00025	Cyclin-D3	CCND3	Mouse	CST	2936	Valid	ENSG00000112576.13
AGID00024	CYCLINB1	CCNB1	Rabbit	Epitomics/Abcam	1495-1/ab32053	Valid	ENSG00000134057.15
AGID00382	CYCLIND1	CCND1	Rabbit	Santa Cruz	sc-718	Valid	ENSG00000110092.4
AGID00437	CYCLINE1	CCNE1	Mouse	Santa Cruz	sc-25303	Caution	ENSG00000105173.14
AGID00449	CYCLINE2	CCNE2	Rabbit	Epitomics	1142-1	Caution	ENSG00000175305.17
AGID00209	Cyclophilin-F	PPIF	Mouse	Abcam	ab110324	Valid	ENSG00000108179.14
AGID00247	D-a-Tubulin	TUBA4A	Rabbit	Abcam	ab48389	Valid	ENSG00000127824.14
AGID00308	DAPK1_pS308	DAPK1	Mouse	GeneTex	GTX10524	Caution	ENSG00000196730.13
AGID00304	DAPK2	DAPK2	Rabbit	Abcam	ab51601	Caution	ENSG00000035664.11
AGID00343	DDB-1	DDB1	Rabbit	CST	6998	Valid	ENSG00000167986.14
AGID00427	DDR1	DDR1	Rabbit	CST	5583	Valid	ENSG00000204580.13
AGID00428	DDR1_pY513	DDR1	Rabbit	Millipore Sigma	SAB4504671	Caution	ENSG00000204580.13
AGID00532	DIRAS3	DIRAS3	Mouse	Bast Lab	Bast Lab	Caution	ENSG00000162595.7
AGID00104	DJ1	PARK7	Rabbit	Abcam	ab76008	Valid	ENSG00000116288.13
AGID02146	DM-Histone-H3	H3C1	Rabbit	CST	4658	Valid	ENSG00000275714.2
AGID00386	DM-K9-Histone-H3	H3C1	Rabbit	Abcam	ab32521	Valid	ENSG00000275714.2
AGID00352	DNA-Ligase-IV	LIG4	Rabbit	CST	14649	Caution	ENSG00000174405.14
AGID00407	DNA_POLG	POLG	Rabbit	CST	13609	Valid	ENSG00000140521.17
AGID00399	DNMT1	DNMT1	Rabbit	CST	5032	Valid	ENSG00000130816.17
AGID00409	DRP1	DNM1L	Rabbit	CST	5391	Valid	ENSG00000087470.18
AGID00253	DUSP4	DUSP4	Rabbit	CST	5149	Valid	ENSG00000120875.9
AGID00334	DUSP6	DUSP6	Rabbit	Abcam	ab76310	Caution	ENSG00000139318.8
